Species
Acer circinatum
Acer glabrum
Achillea millefolium
Amelanchier alnifolia
Arctostaphylos uva-ursi
Athyrium filix-femina
Cassiope mertensiana
Calamagrostis rubescens
Ceanothus velutinus
Chimaphila umbellata
Clintonia uniflora
Cornus canadensis
Cornus stolonifera
Cornus sericea
Chamerion angustifolium
Epilobium angustifolium
Gaultheria ovatifolia
Gaultheria shallon
Goodyera oblongifolia
Gymnocarpium dryopteris
Hieracium albiflorum
Linnaea borealis
Luetkea pectinata
Berberis nervosa
Mahonia nervosa
Menziesia ferruginea
Oplopanax horridus
Pachistima myrsinites
Pachystima myrsinites
Phyllodoce empetriformis
Polystichum munitum
Pteridium aquilinum
Rhododendron albiflorum
Rubus parviflorus
Rubus pedatus
Rubus spectabilis
Smilacina racemosa
Maianthemum racemosum
Sorbus sitchensis
Spiraea betulifolia
Tiarella trifoliata
Trientalis borealis
Vaccinium alaskaense
Vaccinium deliciosum
Vaccinium membranaceum
Valeriana sitchensis
Abies amabilis
Abies lasiocarpa
Abies procera
Acer macrophyllum
Alnus rubra
Chamaecyparis nootkatensis
Cornus nuttallii
Larix lyallii
Picea engelmannii
Picea glauca
Picea sitchensis
Pinus ponderosa
Pinus albicaulis
Pinus contorta
Pinus monticola
Populus balsamifera
Populus trichocarpa
Pseudotsuga menziesii
Thuja plicata
Tsuga heterophylla
Tsuga mertensiana
