R	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
1146279983																										http://arctos.database.museum/guid/UAM:Herb:194354?seid=530213									en							http://arctos.database.museum/guid/UAM:Herb:194354				http://creativecommons.org/licenses/by-nc/3.0								PhysicalObject		urn:lsid:biocol.org:col:15621			UAM	Plant specimens (ALA)			PRESERVED_SPECIMEN				http://arctos.database.museum/guid/UAM:Herb:194354?seid=530213	194354		Collector(s): unknown										whole organism					"ISC: Ada Hayden Herbarium, Iowa State University=301384"	Entered by ALA Imaging Project - more data will be available after images are scanned.	http://arctos.database.museum/guid/UAM:Herb:194354					<i>Abies lasiocarpa</i> (accepted ID) identified by unknown on 2009-07-01; method: legacy Remark: Identification taken from herbarium sheet folder.							1800-01-01/2010-01-14						not recorded										no higher geography recorded									No specific locality recorded.	No verbatim locality recorded					unknown												unknown	00:00.0			unverified																					A		unknown	2009-07-01T00:00Z		legacy	Identification taken from herbarium sheet folder.									Abies lasiocarpa (Hook.) Nutt.							Plantae; Pinopsida; Pinales; Pinaceae;  (Hook.) Nutt.	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES			ICBN				5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	US	2016-05-26T04:33Z									FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-05-26T04:32Z	2016-05-26T04:32Z
1146286965																										http://arctos.database.museum/guid/UAM:Herb:201155?seid=1122985									en							http://arctos.database.museum/guid/UAM:Herb:201155				http://creativecommons.org/licenses/by-nc/3.0								PhysicalObject		urn:lsid:biocol.org:col:15621			UAM	Plant specimens (ALA)			PRESERVED_SPECIMEN				http://arctos.database.museum/guid/UAM:Herb:201155?seid=1122985	201155		"Collector(s): Stanley L. Welsh, Glen Moore"										whole organism					"ISC: Ada Hayden Herbarium, Iowa State University=274854"	Entered by ALA Imaging Project - more data will be available after images are scanned.	http://arctos.database.museum/guid/UAM:Herb:201155					<i>Abies lasiocarpa</i> (accepted ID) identified by Bruce A. Bennett on 2013-11-04; method: student<br><i>Pseudotsuga menziesii</i> identified by unknown on 2009-07-04; method: legacy Remark: Identification taken from herbarium sheet folder.							1968-07-02/						02-Jul-68	"Mixed Artemisia-Carex community, on sandy hills and flats"									"North America, Canada, Yukon Territory"	NORTH_AMERICA				CA	Yukon Territory			Carcross						unknown												unknown	00:00.0			unverified																					A		Bruce A. Bennett	2013-11-04T00:00Z		student										Abies lasiocarpa (Hook.) Nutt.							Plantae; Pinopsida; Pinales; Pinaceae;  (Hook.) Nutt.	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES			ICBN				5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	US	2016-05-26T04:33Z									FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-05-26T04:32Z	2016-05-26T04:32Z
1039015702		"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj"							Abies lasiocarpa (YU.024097)																	urn:uuid:e895330b-7fc8-4cab-b5fb-86b4a36d2d9d									eng	http://creativecommons.org/publicdomain/zero/1.0/						http://collections.peabody.yale.edu/search/Record/YU.024097					Yale Peabody Museum of Natural History							PhysicalObject					YPM	YU		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""158909"" }"	urn:uuid:e895330b-7fc8-4cab-b5fb-86b4a36d2d9d	YU.024097																		number 24097; lot count 1						Abies lasiocarpa																																																																																										Abies lasiocarpa (Hook.) Nutt.							Plantae; Tracheophyta; Pinaceae; Abietoideae	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES		pines; tracheophytes; plants	ICBN			Animals and Plants: Plants	963f12d0-f762-11e1-a439-00145eb45e9a	US	2016-06-06T11:01Z								STILLIMAGE	FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-06-06T11:00Z	2016-06-08T18:36Z
1257677221									http://www.tropicos.org/Specimen/100327753																	urn:catalog:MO:Tropicos:100327753										http://creativecommons.org/licenses/by/4.0/legalcode											Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:100327753	100327753	Engelmann s.n.	George Engelmann																																1856	8													NORTH_AMERICA				US	Nebraska			Medicine Bow Mountains.																																													"E. L. Little, Jr."	1975-01-01T00:00Z				24900140								Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES			ICNafp		No opinion		7bd65a7a-f762-11e1-a439-00145eb45e9a	US	2016-06-06T13:16Z								STILLIMAGE	FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-06-06T13:11Z	2016-06-06T13:11Z
1257677279									http://www.tropicos.org/Specimen/100327780																	urn:catalog:MO:Tropicos:100327780										http://creativecommons.org/licenses/by/4.0/legalcode											Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:100327780	100327780	Lyall s.n.	David Lyall																																1860														NORTH_AMERICA				US				"East side of Cascade Mountains, not uncommon up to this altitude."																																											?		"E. L. Little, Jr."	1975-01-01T00:00Z				24900140								Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES			ICNafp		No opinion		7bd65a7a-f762-11e1-a439-00145eb45e9a	US	2016-06-06T13:16Z	1828.8							STILLIMAGE	FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-06-06T13:11Z	2016-06-06T13:11Z
1257677264									http://www.tropicos.org/Specimen/100327784																	urn:catalog:MO:Tropicos:100327784										http://creativecommons.org/licenses/by/4.0/legalcode											Missouri Botanical Garden							PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15859		MO	MO	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:100327784	100327784	Wilkes U.S. South Pacific Exploring Expedition s.n.	Wilkes U.S. South Pacific Exploring Expedition																																														NORTH_AMERICA				US																																															?		"E. L. Little, Jr."	1975-01-01T00:00Z				24900140								Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES			ICNafp		No opinion		7bd65a7a-f762-11e1-a439-00145eb45e9a	US	2016-06-06T13:16Z								STILLIMAGE	FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-06-06T13:11Z	2016-06-06T13:11Z
125532523																																																											UCMC	COLO			PRESERVED_SPECIMEN					474935		Loraine Yeatts																												1997-08-08T00:00Z				1997	8	8												NORTH_AMERICA				US	Colorado	Park		"Mosquito Range, San Isabel National Forest, Rough & Tumbling Creek along NFS tr. 617."																																																										Abies bifolia A. Murray								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		bifolia		SPECIES							86221faa-f762-11e1-a439-00145eb45e9a	US	2016-04-17T15:18Z									FALSE	FALSE	2685368	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:05Z
174808340																																																											Herbarium	ARIZ			PRESERVED_SPECIMEN					dbsn159566		P.S. Martin																																1958	4																	US	Arizona	Pima County		"Mount Lemmon, N. slope, Santa Catalina Mountains. ."								32.4647	-110.7397																																																	Abies bifolia A. Murray								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		bifolia		SPECIES							95b97882-f762-11e1-a439-00145eb45e9a	US	2016-04-16T01:13Z	2743						COORDINATE_PRECISION_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685368	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR		2013-09-07T09:14Z
209939874																																																											UNM	Herb			PRESERVED_SPECIMEN					68617		H. Mackay																												1967-06-04T00:00Z				1967	6	4												NORTH_AMERICA				US	New Mexico	Taos		Wheeler Peak.																																																										Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							9587f32a-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z	3482	53							FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:13Z
209939882																																																											UNM	Herb			PRESERVED_SPECIMEN					43803		C.B. Jones																												1966-10-15T00:00Z				1966	10	15												NORTH_AMERICA				US	New Mexico	Bernalillo		"Just below Sandia Crest, Sandia Mountains."																																																										Abies lasiocarpa var. arizonica (Merriam) Lemmon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	arizonica	VARIETY							9587f32a-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z									FALSE	FALSE	2685374	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:13Z
209939895																																																											UNM	Herb			PRESERVED_SPECIMEN					43951		A. Fleck																												1965-06-06T00:00Z				1965	6	6												NORTH_AMERICA				US	New Mexico	Rio Arriba		"Nacimiento Trail, San Pedro Parks Wilderness Area, San Pedro Mountains."																																																										Abies lasiocarpa var. arizonica (Merriam) Lemmon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	arizonica	VARIETY							9587f32a-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z									FALSE	FALSE	2685374	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:13Z
209939896																																																											UNM	Herb			PRESERVED_SPECIMEN					28393		H.N. Dixon																												1961-06-25T00:00Z				1961	6	25												NORTH_AMERICA				US	New Mexico	Taos		"Approximately 15 miles east Fort Burgwin, above Pot Creek."																																																										Abies lasiocarpa var. arizonica (Merriam) Lemmon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	arizonica	VARIETY							9587f32a-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z									FALSE	FALSE	2685374	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:13Z
209939899																																																											UNM	Herb			PRESERVED_SPECIMEN					29071		H.R. Simms																												1961-07-05T00:00Z				1961	7	5												NORTH_AMERICA				US	New Mexico	Bernalillo		Sandia Crest.																																																										Abies lasiocarpa var. arizonica (Merriam) Lemmon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	arizonica	VARIETY							9587f32a-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z									FALSE	FALSE	2685374	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:13Z
209939902																																																											UNM	Herb			PRESERVED_SPECIMEN					26792		N. Osborn																												1960-06-15T00:00Z				1960	6	15												NORTH_AMERICA				US	New Mexico	(Cibola)		"2 miles north of La Mosca Lookout, Mt. Taylor."																																																										Abies lasiocarpa var. arizonica (Merriam) Lemmon								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	arizonica	VARIETY							9587f32a-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z	3200	0							FALSE	FALSE	2685374	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:13Z
209940181																																																											NMCR	Herb			PRESERVED_SPECIMEN					23678		"Kelly W. Allred, Lynda Allred"																												2002-09-20T00:00Z				2002	9	20												NORTH_AMERICA				US	New Mexico	Lincoln		"Sacramento Mts, Sierra Blanca ski area, at end of hwy 532, subalpine mixed conifer forest"																																													K. Allred													Abies arizonica Merriam								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		arizonica		SPECIES							9587f32a-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z	2956	0							FALSE	FALSE	2685375	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR_MANIS		2013-09-07T09:13Z
1248731786									Abies lasiocarpa (Hook.) Nutt. (QFA0114686)																	QFA0114686									fr|en	http://creativecommons.org/publicdomain/zero/1.0/legalcode											Universit̩ Laval							Physical Object			urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Universit̩ Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Universit̩ Laval	PRESERVED_SPECIMEN				QFA0114686	QFA0114686	15514	"Looman, Jan"										mounted																		1970-10-23T00:00Z				1970	10	23	23 octobre 1970	Coniferous forest														CA	British Columbia.			Three Valley Gap		1500 m																																											"Looman, J."													Abies lasiocarpa (Hook.) Nutt.	Abies lasiocarpa (Hooker) Nuttall							Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES			ICBN				2fd02649-fc08-4957-9ac5-2830e072c097	CA	2016-04-17T15:20Z									FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-03-23T15:49Z	2016-03-23T15:49Z
466324400																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V229022		"W.H. Parker, Jack Maze"																												1975-07-26T00:00Z				1975	7	26																CA	British Columbia			"near Cranberry Junction of road from Nass Junction to Cranberry Junction, west 1.4 miles then south 0.5 miles then continue southeast 0.3 miles"								55.56667	-128.61667																																				"W.H. Parker, Jack Maze"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE		2013-09-07T09:19Z
466324439																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V229012		"W.H. Parker, Jack Maze"																												1975-07-28T00:00Z				1975	7	28																CA	British Columbia			"1 mile south of the Nass River Bridge, 0.25 miles east of Meziadin Lake-Hazelton Road on logging road"								56.05	-129.15																																				"W.H. Parker, Jack Maze"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE		2013-09-07T09:19Z
466324461																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V229282		"W.H. Parker, Jack Maze"																												1975-07-30T00:00Z				1975	7	30																CA	British Columbia			"on the Stewart-Cassiar Highway, just north of the northernmost crossing of the Bell-Irving River"								56.75	-129.85																																				"W.H. Parker, Jack Maze"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE		2013-09-07T09:19Z
466324501																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V229509		"W.H. Parker, Jack Maze"																												1975-08-01T00:00Z				1975	8	1																CA	British Columbia			"2.8 miles north of southern crossing of Bell-Irving River, along a short side road heading east from Stewart-Cassiar Highway"								56.3	-129.28333																																				"W.H. Parker, Jack Maze"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE		2013-09-07T09:19Z
466324632																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V229370		"W.H. Parker, Jack Maze"																												1976-08-11T00:00Z				1976	8	11																CA	British Columbia			"ca. 12 miles east of Creston, road heads north of Highway 3, ca. 1/4 mile south of fork in Goat River"																																													"W.H. Parker, Jack Maze"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z									FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE		2013-09-07T09:19Z
466324882																																																											University of British Columbia	UBC			PRESERVED_SPECIMEN					V229378		"W.H. Parker, Jack Maze"																												1977-08-11T00:00Z				1977	8	11																CA	British Columbia			"5 miles west of turnoff from Highway 97 at McLeod Lake, Carp Lake Road west of McLeod Lake, at mile marker ""5"""																																													"W.H. Parker, Jack Maze"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							07fd0d79-4883-435f-bba1-58fef110cd13	CA	2016-04-17T15:20Z									FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE		2013-09-07T09:19Z
415893096																										urn:catalog:UConn:CONN:CONN00012083																																10545	UConn	CONN			PRESERVED_SPECIMEN					CONN00012083	977	Garrett E. Crow																						Abies lasiocarpa (Hook.) Nutt.						1969-07-19T00:00Z				1969	7	19	19-Jul-69	"Talus, exposed to wind"														US	Montana	Missoula County		"Flathead National Forest, Mission Mountains Wilderness Area"	"Flathead National Forest, Mission Mountains Wilderness Area"																																																									Abies lasiocarpa (Hook.) Nutt.							Gymnospermae	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							5288946d-5fcf-4b53-8fd3-74f4cc6b53fc	US	2016-04-16T01:13Z									FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-11-26T13:26Z	2015-11-26T13:26Z
623643521		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms																								0533610c-ba8b-11e3-8cfe-90b11c41863e									en											http://creativecommons.org/licenses/by/4.0/deed.en_US								PhysicalObject		http://grbio.org/cool/iakn-125z			KU	KANU	R. L. McGregor Herbarium Vascular Plants Collection		PRESERVED_SPECIMEN				0533610c-ba8b-11e3-8cfe-90b11c41863e	307370		B E Nelson																											16121	1988-06-30T00:00Z				1988	6	30								Sierra Madre; along a tributary of N Fork Big Creek at SE base of Beat Mtn. Moist open lodgepole pine woods above stream.			"USA, Wyoming, Carbon"	NORTH_AMERICA				US	Wyoming	Carbon		"Encampment, ca 13 air mi SE"		8900 ft																																											Ronald L McGregor													Abies bifolia A. Murray								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		bifolia		SPECIES							95c938a8-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:08Z								STILLIMAGE	FALSE	FALSE	2685368	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2016-02-04T04:57Z	2016-03-28T17:51Z
51738519																																																											OSC	ORE			PRESERVED_SPECIMEN					ORE67003		Orlin L. Ireland																												1943-08-01T00:00Z				1943	8	1												NORTH_AMERICA				US	Oregon	Lane		Scott Lake area.								44.2136	-121.8881	4828.03																																			"Liston, A."	1999-01-07T00:00Z												Abies lasiocarpa var. lasiocarpa								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	lasiocarpa	VARIETY							84aa5ee4-f762-11e1-a439-00145eb45e9a	US	2016-04-17T15:20Z	1463	0					GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685363	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR	2014-05-29T11:28Z	2015-07-16T12:24Z
51739033																																																											OSC	OSC			PRESERVED_SPECIMEN					OSC98012		S.C. Head																												1957-06-17T00:00Z				1957	6	17												NORTH_AMERICA				US	Oregon	Baker		"Little Kettle Cr. Trail, 1/4 mile west of Crater Lake."								45.0588	-117.2922	804.67																																			"Liston, A."	1999-01-07T00:00Z												Abies lasiocarpa var. lasiocarpa								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa	lasiocarpa	VARIETY							84aa5ee4-f762-11e1-a439-00145eb45e9a	US	2016-04-17T15:20Z	1981.2	0					GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685363	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR	2014-05-29T11:28Z	2015-07-16T12:24Z
441678712																																																											UWBM	Plants			PRESERVED_SPECIMEN					37853		George Neville Jones																												1933-10-08T00:00Z				1933	10	8																US	Washington	Clallam		Mount Angeles.								47.99538	-123.46784																																																	Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							8310f570-f762-11e1-a439-00145eb45e9a	US	2016-04-17T16:22Z							GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR	2014-10-07T14:39Z	2014-10-07T14:39Z
118614382																																																											ASU	ASUPlants			PRESERVED_SPECIMEN					631		Forrest Shreve																												1917-06-20T00:00Z				1917	6	20																US	Arizona	Graham County		"Mount Graham, Graham Mountains."																																																										Abies bifolia A. Murray								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		bifolia		SPECIES							84c1fa90-f762-11e1-a439-00145eb45e9a	US	2016-04-17T15:20Z									FALSE	FALSE	2685368	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DIGIR		2013-09-07T09:10Z
1041193364																										urn:occurrence:Arctos:UAM:Herb:194321:1681274									en							http://arctos.database.museum/guid/UAM:Herb:194321				http://arctosdb.org/home/data/								PhysicalObject		urn:lsid:biocol.org:col:15621			UAM	Plant specimens (ALA)			PRESERVED_SPECIMEN				urn:occurrence:Arctos:UAM:Herb:194321:1681274	194321		Collector(s): unknown										whole organism					"ISC: Ada Hayden Herbarium, Iowa State University=301381"	Entered by ALA Imaging Project - more data will be available after images are scanned.						<i>Abies lasiocarpa</i> (accepted ID) identified by unknown on 2009-07-01; method: legacy Remark: Identification taken from herbarium sheet folder.							1800-01-01/2010-01-14						not recorded										no higher geography recorded									No specific locality recorded.	No verbatim locality recorded					unknown												unknown	00:00.0			unverified																					A		unknown	2009-07-01T00:00Z		legacy	Identification taken from herbarium sheet folder.									Abies lasiocarpa (Hook.) Nutt.							Plantae; Pinopsida; Pinales; Pinaceae;  (Hook.) Nutt.	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES			ICBN				5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	US	2016-04-17T16:08Z								STILLIMAGE	FALSE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-03-25T11:14Z	2015-03-25T11:14Z
