R	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
851370425																										urn:lsid:artportalen.se:Sighting:4446800													2013-07-02T17:58Z																				ArtDatabanken	Anders			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446800	4446800																														2008-12-14T00:00Z				2008	12	14																SE	Uppsala	Uppland		"Film, 250 m SSV kyrkan"								60.2274	17.893		1																																		Anders Svenson													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-13T20:00Z	2016-06-06T11:19Z
932626240																										urn:lsid:artportalen.se:Sighting:16294352													2014-07-26T05:16Z																				ArtDatabanken	Artport			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:16294352	16294352																														2014-07-23T00:00Z				2014	7	23																SE	JÃ_mtland	HÃ_rjedalen		N FjÃ_llnÃ_s								62.6303	12.1203		1																																		Patrik EngstrÃ¶m													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-14T06:59Z	2016-06-06T11:09Z
1136906712																										urn:lsid:artportalen.se:Sighting:55077441													2015-09-07T05:17Z																				ArtDatabanken	Artport			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:55077441	55077441																														2011-05-07T00:00Z				2011	5	7																SE	Stockholm	Uppland		Sparren								59.7041	18.3505		1																																		"GÃ¶ran Frisk, Kristina Nygren Frisk"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-09-13T02:59Z	2016-06-06T11:26Z
854731699																										urn:lsid:artportalen.se:Sighting:4446796													2013-07-04T09:39Z																				ArtDatabanken	Lund-Bo			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446796	4446796																														2004-06-24T00:00Z				2004	6	24																SE	Blekinge	Blekinge		GrÃ¶ngÃ¶lsmÃ¥la								56.3595	15.3515		1																																		Bengt Nilsson													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-14T00:32Z	2016-06-06T11:19Z
849862111																										urn:lsid:artportalen.se:Sighting:4446798													2013-07-01T22:54Z																				ArtDatabanken	Uppsala			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446798	4446798																														2005-04-12T00:00Z				2005	4	12																SE	Uppsala	Uppland		Krusenbergs herrgÃ¥rd								59.7368	17.6483		1																																		Anders Svenson													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-13T18:17Z	2016-06-06T11:19Z
1038456108																																																											naturgucker	naturgucker			HUMAN_OBSERVATION					-65283892		539637721																												2014-07-11T00:00Z				2014	7	11																CA				Mt. Haldane								63.8617	-135.84045	250																																																Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2016-04-17T15:58Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		BIOCASE	2014-11-14T16:09Z	2015-08-12T01:55Z
851484447																										urn:lsid:artportalen.se:Sighting:4446801													2013-07-02T18:13Z																				ArtDatabanken	Joakim			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446801	4446801																														2009-02-01T00:00Z				2009	2	1																SE	Stockholm	Uppland		400 m N-NNV Nora								59.7041	18.3505		1																																		"Joakim Ekman, Gabriel Ekman"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-13T20:17Z	2016-06-06T11:19Z
849439733																										urn:lsid:artportalen.se:Sighting:4446797													2013-07-01T16:25Z																				ArtDatabanken	Artport			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446797	4446797																														2005-02-12T00:00Z				2005	2	12																SE	Uppsala	Uppland		"Uppsala, HÃ_sselby hage, 300 m NV HÃ_sselby"								59.8844	17.5511		1																																		"Anders Svenson, HÃ¥kan Andersson, Anders Svenson"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-13T15:16Z	2016-06-06T11:19Z
851484505																										urn:lsid:artportalen.se:Sighting:4446802													2013-07-02T18:13Z																				ArtDatabanken	Joakim			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446802	4446802																														2009-02-01T00:00Z				2009	2	1																SE	Stockholm	Uppland		400 m N-NNV Nora								59.7041	18.3505		1																																		"Joakim Ekman, Gabriel Ekman"													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-13T20:17Z	2016-06-06T11:19Z
855302098																										urn:lsid:artportalen.se:Sighting:4446806													2013-07-05T03:37Z																				ArtDatabanken	Crister			HUMAN_OBSERVATION				urn:lsid:artportalen.se:Sighting:4446806	4446806																														2012-03-27T00:00Z				2012	3	27																SE	VÃ_rmland	VÃ_rmland		Norum								59.561	13.699		1																																		Crister Albinsson													Abies lasiocarpa (Hook.) Nutt.								Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies		lasiocarpa		SPECIES							38b4c89f-584c-41bb-bd8f-cd1def33e92f	SE	2016-04-28T16:33Z	-1	0	1	0			DEPTH_UNLIKELY;GEODETIC_DATUM_ASSUMED_WGS84		TRUE	FALSE	2685313	6	7707728	194	640	3925	2684876		2685313	Abies lasiocarpa	Abies		DWC_ARCHIVE	2015-02-14T01:59Z	2016-06-06T11:19Z
