gbifID	institutionCode	collectionCode	basisOfRecord	recordNumber	recordedBy	individualCount	preparations	associatedTaxa	fieldNumber	eventDate	year	month	day	verbatimEventDate	habitat	fieldNotes	eventRemarks	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	scientificName
918823631	University of British Columbia	UBC	PRESERVED_SPECIMEN	s.n.	P.F. Maycock; A.A. Reznicek; J. Laudenbach; S. White	NA	mounted	NA	NA	1977-07-01T00:00Z	1977	7	1	1977 Jul 01	NA	NA	NA	NA	NA	CA	Manitoba	NA	NA	"souris river - prairie complex on extensive plateau above the souris river, north of margaret"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
918932020	University of British Columbia	UBC	PRESERVED_SPECIMEN	28	K.P. Bannister	NA	mounted	NA	NA	2000-07-07T00:00Z	2000	7	7	2000 Jul 07	Spruce wetland adjacent to lake.	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Peace River District, near Fort Nelson, Alaska Highway mile 285 Lake (side)."	NA	NA	NA	NA	NA	NA	NA	58.63333	-122.75	NA	NA	NA	NA	unknown	Amelanchier alnifolia (Nutt.) Nutt.
918950996	University of British Columbia	UBC	PRESERVED_SPECIMEN	19	Gary J. Lewis; Jocelyn M. Ingram	NA	mounted	NA	NA	2002-07-05T00:00Z	2002	7	5	2002 Jul 05	Ultramafic side. Mature Douglas fir forest on toe-of-slope in gully with large dead and young subalpine fir. Slope 21 degrees.	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Tulameen area, Tulameen Ultramafic Complex, Grasshopper Mountain"	NA	1231 m	NA	NA	NA	NA	NA	49.53517	-120.90244	NA	NA	NA	NA	unknown	Amelanchier alnifolia (Nutt.) Nutt.
918967381	University of British Columbia	UBC	PRESERVED_SPECIMEN	s.n.	W. Taylor	NA	mounted	NA	NA	1914-05-17T00:00Z	1914	5	17	1914 May 17	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	south slopes of Grouse Mountain	NA	NA	NA	NA	NA	NA	NA	49.38333	-122.93333	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813253199	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Taylor, T.M.C.; Hosie, R.C.; Fitzpatrick, R.E.; Losee, S.T.; Leslie, A."	NA	NA	NA	NA	1935-08-04T00:00Z	1935	8	4	NA	NA	NA	NA	NA	NA	CA	Ontario	Algoma Dist.	NA	Pancake River	NA	NA	NA	NA	NA	NA	NA	47	-84.75	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813273199	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Garton, C.E."	NA	NA	NA	NA	1978-05-31T00:00Z	1978	5	31	NA	NA	NA	NA	NA	NA	CA	Ontario	Thunder Bay Dist.	NA	"Paipoonge Tp., Rosslyn Village, CNR spur line"	NA	NA	NA	NA	NA	NA	NA	48.35	-89.43333	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
894996361	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	216 B.W. Davies	NA	NA	scattered Juniper and Douglas Fir	NA	1965-05-06T00:00Z	1965	5	6	NA	"on shallow soil over bedrock. Exp. W, slope 10��_"	NA	4 ft. tall	NA	NA	CA	British Columbia	NA	NA	Fegan Islands off N. end of Lasqueti Islands	NA	6 feet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
894996401	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	84 David A. Best	NA	NA	NA	NA	1976-06-27T00:00Z	1976	6	27	NA	Open rocky shore	NA	NA	NA	NA	CA	Alberta	NA	NA	Roche Lake	NA	NA	NA	NA	NA	NA	NA	54.76667	-115	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
894996412	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	Donna L. McCalla	NA	NA	NA	NA	1952-05-09T00:00Z	1952	5	9	NA	NA	NA	NA	NA	NA	CA	Alberta	NA	NA	"E. bank, Sask. R., Edmonton"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
441685814	UWBM	Plants	PRESERVED_SPECIMEN	NA	J. William Thompson	NA	NA	NA	NA	1938-06-20T00:00Z	1938	6	20	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Subalpine slopes near Lake Bootahnie, Marble Mountains."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
